topic,timestamp,value
"tele/soil/pot0/temp0","2017-06-18 21:55:41.849886","-127.00"
"tele/soil/pot0/moisture0","2017-06-18 21:55:41.906176","1024"
"tele/soil/pot0/temp0","2017-06-18 22:09:34.525750","-127.00"
"tele/soil/pot0/moisture0","2017-06-18 22:09:34.585496","1024"
"tele/soil/pot0/temp0","2017-06-18 22:19:19.842358","-127.00"
"tele/soil/pot0/moisture0","2017-06-18 22:19:19.899949","1024"
"tele/soil/pot0/temp0","2017-06-18 22:29:05.585144","-127.00"
"tele/soil/pot0/moisture0","2017-06-18 22:29:05.641411","1024"
"tele/soil/pot0/temp0","2017-06-18 22:38:52.870594","-127.00"
"tele/soil/pot0/moisture0","2017-06-18 22:38:52.955004","1024"
"tele/soil/pot0/temp0","2017-06-18 22:48:38.166547","-127.00"
"tele/soil/pot0/moisture0","2017-06-18 22:48:38.219318","1024"
"tele/soil/pot0/temp0","2017-06-18 22:58:24.520309","-127.00"
"tele/soil/pot0/moisture0","2017-06-18 22:58:24.601503","1024"
"tele/soil/pot0/temp0","2017-06-18 23:04:06.429835","-127.00"
"tele/soil/pot0/moisture0","2017-06-18 23:04:06.483347","1024"
"tele/soil/pot0/temp0","2017-06-18 23:13:49.273077","-127.00"
"tele/soil/pot0/moisture0","2017-06-18 23:13:49.365092","1024"
"tele/soil/pot0/temp0","2017-06-18 23:23:35.234031","-127.00"
"tele/soil/pot0/moisture0","2017-06-18 23:23:35.283287","1024"
"tele/soil/pot0/temp0","2017-06-18 23:33:21.375432","-127.00"
"tele/soil/pot0/moisture0","2017-06-18 23:33:21.425268","1024"
"tele/soil/pot0/temp0","2017-06-18 23:43:07.580598","-127.00"
"tele/soil/pot0/moisture0","2017-06-18 23:43:07.632465","1024"
"tele/soil/pot0/temp0","2017-06-18 23:52:53.929874","-127.00"
"tele/soil/pot0/moisture0","2017-06-18 23:52:53.993736","1024"
"tele/soil/pot0/temp0","2017-06-19 00:02:40.374371","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 00:02:40.435565","1024"
"tele/soil/pot0/temp0","2017-06-19 00:12:26.929557","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 00:12:26.987913","1024"
"tele/soil/pot0/temp0","2017-06-19 00:22:13.385895","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 00:22:13.441170","1024"
"tele/soil/pot0/temp0","2017-06-19 00:32:00.237343","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 00:32:00.298804","1024"
"tele/soil/pot0/temp0","2017-06-19 00:41:45.234481","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 00:41:45.290399","1024"
"tele/soil/pot0/temp0","2017-06-19 00:51:31.373947","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 00:51:31.444504","1024"
"tele/soil/pot0/temp0","2017-06-19 01:01:17.735041","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 01:01:17.790353","1024"
"tele/soil/pot0/temp0","2017-06-19 01:11:03.988235","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 01:11:04.036781","1024"
"tele/soil/pot0/temp0","2017-06-19 01:20:49.888578","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 01:20:49.970806","1024"
"tele/soil/pot0/temp0","2017-06-19 01:30:40.846009","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 01:30:40.894341","1024"
"tele/soil/pot0/temp0","2017-06-19 01:40:22.275532","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 01:40:22.328985","1024"
"tele/soil/pot0/temp0","2017-06-19 01:50:08.718699","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 01:50:08.768516","1024"
"tele/soil/pot0/temp0","2017-06-19 01:59:54.956271","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 01:59:55.003000","1024"
"tele/soil/pot0/temp0","2017-06-19 02:09:41.506332","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 02:09:41.553952","1024"
"tele/soil/pot0/temp0","2017-06-19 02:19:31.132587","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 02:19:31.182298","1024"
"tele/soil/pot0/temp0","2017-06-19 02:29:13.488865","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 02:29:13.575481","1024"
"tele/soil/pot0/temp0","2017-06-19 02:38:59.856353","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 02:38:59.997840","1024"
"tele/soil/pot0/temp0","2017-06-19 02:48:46.397107","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 02:48:46.444261","1024"
"tele/soil/pot0/temp0","2017-06-19 02:58:32.934807","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 02:58:32.989049","1024"
"tele/soil/pot0/temp0","2017-06-19 03:08:19.696586","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 03:08:19.742146","1024"
"tele/soil/pot0/temp0","2017-06-19 03:18:06.135668","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 03:18:06.188076","1024"
"tele/soil/pot0/temp0","2017-06-19 03:27:52.398881","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 03:27:52.443895","1024"
"tele/soil/pot0/temp0","2017-06-19 03:37:38.845308","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 03:37:38.899196","1024"
"tele/soil/pot0/temp0","2017-06-19 03:47:27.295037","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 03:47:27.342260","1024"
"tele/soil/pot0/temp0","2017-06-19 03:57:13.346955","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 03:57:13.397389","1024"
"tele/soil/pot0/temp0","2017-06-19 04:07:00.084657","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 04:07:00.156042","1024"
"tele/soil/pot0/temp0","2017-06-19 04:16:43.055437","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 04:16:43.101389","1024"
"tele/soil/pot0/temp0","2017-06-19 04:26:29.498858","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 04:26:29.554706","1024"
"tele/soil/pot0/temp0","2017-06-19 04:36:16.295769","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 04:36:16.379768","1024"
"tele/soil/pot0/temp0","2017-06-19 04:46:02.707707","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 04:46:02.753267","1024"
"tele/soil/pot0/temp0","2017-06-19 04:55:49.047054","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 04:55:49.102373","1024"
"tele/soil/pot0/temp0","2017-06-19 05:05:34.968860","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 05:05:35.033116","1024"
"tele/soil/pot0/temp0","2017-06-19 05:15:21.310453","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 05:15:21.372866","1024"
"tele/soil/pot0/temp0","2017-06-19 05:25:07.763092","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 05:25:07.861137","1024"
"tele/soil/pot0/temp0","2017-06-19 05:34:53.699631","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 05:34:53.749695","1024"
"tele/soil/pot0/temp0","2017-06-19 05:44:40.456662","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 05:44:40.588481","1024"
"tele/soil/pot0/temp0","2017-06-19 05:54:27.859196","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 05:54:27.933411","1024"
"tele/soil/pot0/temp0","2017-06-19 06:04:07.807431","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 06:04:07.862545","1024"
"tele/soil/pot0/temp0","2017-06-19 06:13:56.428260","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 06:13:56.495623","1024"
"tele/soil/pot0/temp0","2017-06-19 06:23:40.210032","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 06:23:40.314669","1024"
"tele/soil/pot0/temp0","2017-06-19 06:33:26.473890","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 06:33:26.558985","1024"
"tele/soil/pot0/temp0","2017-06-19 06:43:12.604300","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 06:43:12.659000","1024"
"tele/soil/pot0/temp0","2017-06-19 06:53:01.188426","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 06:53:01.233232","1024"
"tele/soil/pot0/temp0","2017-06-19 07:02:45.194784","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 07:02:45.265700","1024"
"tele/soil/pot0/temp0","2017-06-19 07:12:28.048094","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 07:12:28.133428","1024"
"tele/soil/pot0/temp0","2017-06-19 07:22:20.010272","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 07:22:20.063758","1024"
"tele/soil/pot0/temp0","2017-06-19 07:30:43.636630","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 07:30:43.688431","1024"
"tele/soil/pot0/temp0","2017-06-19 07:40:26.993485","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 07:40:27.047977","1024"
"tele/soil/pot0/temp0","2017-06-19 07:50:13.473494","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 07:50:13.610282","1024"
"tele/soil/pot0/temp0","2017-06-19 07:59:59.996465","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 08:00:00.046259","1024"
"tele/soil/pot0/temp0","2017-06-19 08:09:46.886781","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 08:09:46.961418","1024"
"tele/soil/pot0/temp0","2017-06-19 08:16:56.489799","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 08:16:56.597245","1024"
"tele/soil/pot0/temp0","2017-06-19 08:17:36.488483","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 08:17:36.542642","1024"
"tele/soil/pot0/temp0","2017-06-19 08:27:18.266596","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 08:27:18.317479","1024"
"tele/soil/pot0/temp0","2017-06-19 08:37:04.131641","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 08:37:04.176856","1024"
"tele/soil/pot0/temp0","2017-06-19 08:46:50.479399","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 08:46:50.559050","1024"
"tele/soil/pot0/temp0","2017-06-19 08:56:36.473774","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 08:56:36.536334","1024"
"tele/soil/pot0/temp0","2017-06-19 09:06:22.918897","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 09:06:22.972544","1024"
"tele/soil/pot0/temp0","2017-06-19 09:16:09.181290","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 09:16:09.283723","1024"
"tele/soil/pot0/temp0","2017-06-19 09:25:55.416601","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 09:25:55.465882","1024"
"tele/soil/pot0/temp0","2017-06-19 09:35:41.742515","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 09:35:41.804781","1024"
"tele/soil/pot0/temp0","2017-06-19 09:45:27.886358","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 09:45:27.937072","1024"
"tele/soil/pot0/temp0","2017-06-19 09:55:14.365153","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 09:55:14.422971","1024"
"tele/soil/pot0/temp0","2017-06-19 10:05:00.787193","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 10:05:00.877249","1024"
"tele/soil/pot0/temp0","2017-06-19 10:14:47.253734","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 10:14:47.358577","1024"
"tele/soil/pot0/temp0","2017-06-19 10:24:33.887414","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 10:24:34.003226","1024"
"tele/soil/pot0/temp0","2017-06-19 10:34:20.259100","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 10:34:20.303851","1024"
"tele/soil/pot0/temp0","2017-06-19 10:44:08.522262","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 10:44:08.569089","1024"
"tele/soil/pot0/temp0","2017-06-19 10:53:51.782670","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 10:53:51.862871","1024"
"tele/soil/pot0/temp0","2017-06-19 11:03:37.806345","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 11:03:37.893743","1024"
"tele/soil/pot0/temp0","2017-06-19 11:13:24.072016","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 11:13:24.160440","1024"
"tele/soil/pot0/temp0","2017-06-19 11:23:10.631312","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 11:23:10.700161","1024"
"tele/soil/pot0/temp0","2017-06-19 11:32:57.148332","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 11:32:57.228967","1024"
"tele/soil/pot0/temp0","2017-06-19 11:42:43.289389","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 11:42:43.386881","1024"
"tele/soil/pot0/temp0","2017-06-19 11:52:29.749245","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 11:52:29.805126","1024"
"tele/soil/pot0/temp0","2017-06-19 12:02:16.179044","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 12:02:16.244937","1024"
"tele/soil/pot0/temp0","2017-06-19 12:12:04.885064","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 12:12:04.954901","1024"
"tele/soil/pot0/temp0","2017-06-19 12:21:47.857915","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 12:21:47.904009","1024"
"tele/soil/pot0/temp0","2017-06-19 12:31:33.154062","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 12:31:33.231862","1024"
"tele/soil/pot0/temp0","2017-06-19 12:41:19.473806","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 12:41:19.530882","1024"
"tele/soil/pot0/temp0","2017-06-19 12:51:05.435326","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 12:51:05.492263","1024"
"tele/soil/pot0/temp0","2017-06-19 13:00:51.273972","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 13:00:51.322156","1024"
"tele/soil/pot0/temp0","2017-06-19 13:10:37.757183","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 13:10:37.806530","1024"
"tele/soil/pot0/temp0","2017-06-19 13:20:23.562648","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 13:20:23.674290","1024"
"tele/soil/pot0/temp0","2017-06-19 13:30:09.894211","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 13:30:09.982122","1024"
"tele/soil/pot0/temp0","2017-06-19 13:39:56.163082","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 13:39:56.213831","1024"
"tele/soil/pot0/temp0","2017-06-19 13:49:42.497443","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 13:49:42.544241","1024"
"tele/soil/pot0/temp0","2017-06-19 13:59:31.214639","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 13:59:31.300582","1024"
"tele/soil/pot0/temp0","2017-06-19 14:09:15.284736","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 14:09:15.335634","1024"
"tele/soil/pot0/temp0","2017-06-19 14:19:02.522672","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 14:19:02.573248","1024"
"tele/soil/pot0/temp0","2017-06-19 14:28:47.535769","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 14:28:47.582559","1024"
"tele/soil/pot0/temp0","2017-06-19 14:38:33.794060","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 14:38:33.844113","1024"
"tele/soil/pot0/temp0","2017-06-19 14:48:20.741237","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 14:48:20.863170","1024"
"tele/soil/pot0/temp0","2017-06-19 14:58:12.622402","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 14:58:12.734321","1024"
"tele/soil/pot0/temp0","2017-06-19 15:07:56.107229","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 15:07:56.174482","1024"
"tele/soil/pot0/temp0","2017-06-19 15:17:38.695380","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 15:17:38.746795","1024"
"tele/soil/pot0/temp0","2017-06-19 15:27:26.857396","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 15:27:26.928060","1024"
"tele/soil/pot0/temp0","2017-06-19 15:37:09.798937","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 15:37:09.855700","1024"
"tele/soil/pot0/temp0","2017-06-19 15:46:55.842824","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 15:46:55.925481","1024"
"tele/soil/pot0/temp0","2017-06-19 15:56:41.552984","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 15:56:41.666126","1024"
"tele/soil/pot0/temp0","2017-06-19 16:06:28.446027","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 16:06:28.524872","1024"
"tele/soil/pot0/temp0","2017-06-19 16:16:16.189481","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 16:16:16.262219","1024"
"tele/soil/pot0/temp0","2017-06-19 16:25:59.059081","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 16:25:59.099837","1024"
"tele/soil/pot0/temp0","2017-06-19 16:35:46.321286","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 16:35:46.372745","1024"
"tele/soil/pot0/temp0","2017-06-19 16:45:31.142164","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 16:45:31.201979","1024"
"tele/soil/pot0/temp0","2017-06-19 16:55:20.050224","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 16:55:20.105439","1024"
"tele/soil/pot0/temp0","2017-06-19 17:05:03.045714","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 17:05:03.101559","1024"
"tele/soil/pot0/temp0","2017-06-19 17:14:48.943713","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 17:14:49.076822","1024"
"tele/soil/pot0/temp0","2017-06-19 17:24:35.592305","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 17:24:35.694960","1024"
"tele/soil/pot0/temp0","2017-06-19 17:34:22.231784","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 17:34:22.279584","1024"
"tele/soil/pot0/temp0","2017-06-19 17:44:08.988484","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 17:44:09.048429","1024"
"tele/soil/pot0/temp0","2017-06-19 17:53:57.585446","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 17:53:57.636071","1024"
"tele/soil/pot0/temp0","2017-06-19 18:03:43.834804","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 18:03:43.895482","1024"
"tele/soil/pot0/temp0","2017-06-19 18:13:30.058687","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 18:13:30.130685","1024"
"tele/soil/pot0/temp0","2017-06-19 18:23:11.905206","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 18:23:11.967848","1024"
"tele/soil/pot0/temp0","2017-06-19 18:32:57.540225","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 18:32:57.597015","1024"
"tele/soil/pot0/temp0","2017-06-19 18:42:43.760589","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 18:42:43.824004","1024"
"tele/soil/pot0/temp0","2017-06-19 18:52:30.206065","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 18:52:30.260496","1024"
"tele/soil/pot0/temp0","2017-06-19 19:02:19.254348","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 19:02:19.307809","1024"
"tele/soil/pot0/temp0","2017-06-19 19:12:02.224442","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 19:12:02.274220","1024"
"tele/soil/pot0/temp0","2017-06-19 19:21:48.211347","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 19:21:48.263686","1024"
"tele/soil/pot0/temp0","2017-06-19 19:31:34.041525","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 19:31:34.103928","1024"
"tele/soil/pot0/temp0","2017-06-19 19:41:20.440273","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 19:41:20.496938","1024"
"tele/soil/pot0/temp0","2017-06-19 19:51:06.445279","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 19:51:06.534630","1024"
"tele/soil/pot0/temp0","2017-06-19 20:00:52.463460","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 20:00:52.535065","1024"
"tele/soil/pot0/temp0","2017-06-19 20:10:38.600756","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 20:10:38.714464","1024"
"tele/soil/pot0/temp0","2017-06-19 20:20:29.452474","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 20:20:29.502698","1024"
"tele/soil/pot0/temp0","2017-06-19 20:30:11.042795","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 20:30:11.108741","1024"
"tele/soil/pot0/temp0","2017-06-19 20:39:57.734137","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 20:39:57.783507","1024"
"tele/soil/pot0/temp0","2017-06-19 20:49:44.103555","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 20:49:44.185903","1024"
"tele/soil/pot0/temp0","2017-06-19 20:59:29.924148","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 20:59:29.974264","1024"
"tele/soil/pot0/temp0","2017-06-19 21:09:16.777817","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 21:09:16.985185","1024"
"tele/soil/pot0/temp0","2017-06-19 21:19:04.466117","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 21:19:04.552506","1024"
"tele/soil/pot0/temp0","2017-06-19 21:28:47.859037","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 21:28:47.907823","1024"
